MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120331U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120332U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120333U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120334U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120335U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120336U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120337U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120338U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120339U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120409U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120341U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120342U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120343U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120344U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120345U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120346U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120347U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120348U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120349U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120416U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120351U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120352U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120353U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120354U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120355U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120356U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120357U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120358U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120359U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120411U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120361U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120362U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120363U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120364U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120365U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120366U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120367U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120368U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120369U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120412U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120371U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120372U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120373U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120374U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120375U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120376U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120377U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120378U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120379U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120413U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120381U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120382U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120383U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120384U0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120385U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120386U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120387U0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120388U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120389U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120414U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120391U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120392U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120393U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120394U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120395U0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120421U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120422U0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
